2280.id,-1295,2564
1654.breweryname,Piney Rihver Brewing Company,Piney River Brewing Company
2281.style,Amercan Wild Ale,American Wild Ale
2409.beername,Silverbakc Pale Ale,Silverback Pale Ale
1221.index,5092,1221
1052.style,American Pale Ale (AP)A,American Pale Ale (APA)
82.city,Louisville***,Louisville
632.ounces,32.7607738115194,12.0
86.id,2265.0,2403
110.state,CuA,CA
546.state,CN,NC
1064.style,AmericanB londe Ale,American Blonde Ale
21.id,2265.0,1592
135.style,American Doubfle / Imperial Stout,American Double / Imperial Stout
2410.breweryname,Wynkoop Brewing Compmany,Wynkoop Brewing Company
50.index,3.0,50
115.ounces,27.351329377810707,12.0
53.index,3.0,53
64.breweryname,AC Goldne Brewing Company,AC Golden Brewing Company
65.breweryid,177.0,533
1341.city,San Digo,San Diego
1677.state,A,WA
693.breweryname,David's Ale Wors,David's Ale Works
2078.city,Broooklyn Center,Brooklyn Center
1809.state,CqA,CA
38.index,2.0,38
1099.beername,Okotberfest,Oktoberfest
1762.state,MpI,MI
142.style,ölsch,Kölsch
2128.state,I,MI
12.id,2264.0,2098
1465.index,-1688,1465
1140.id,-1282,469
406.state,I,MI
741.index,-1566,741
1349.breweryname,Mikephone Brewing,Mikerphone Brewing
2195.style,America nPorter,American Porter
12.ounces,4.463776451314327,12.0
890.id,4423,2426
269.style,American Double / Imperialb IPA,American Double / Imperial IPA
51.style,Amrican IPA,American IPA
1832.style,Americpan IPA,American IPA
1279.breweryname,Marshall Wharf Brewing Caompany,Marshall Wharf Brewing Company
913.state,L,AL
956.beername,Coltte,Colette
371.state,PaA,PA
1842.breweryname,Shipyard Brewing Compayn,Shipyard Brewing Company
406.style,uDbbel,Dubbel
91.breweryid,177.0,73
1377.breweryname,Mission Brweery,Mission Brewery
1880.breweryname,Sixpoint Crft Ales,Sixpoint Craft Ales
1989.state,gVA,VA
623.state,L,FL
1180.breweryname,Kirkwood Swtation Brewing Company,Kirkwood Station Brewing Company
239.city,Alpien,Alpine
199.beername,Celestial Mteridian Cascadian Dark Lager,Celestial Meridian Cascadian Dark Lager
820.city,Pawtuckxet,Pawtucket
117.state,pCA,CA
21.breweryid,177.0,368
56.index,4.0,56
13.id,2259.0,2097
1221.id,4630,1090
155.style,mAerican IPA,American IPA
14.id,2260.0,1980
1716.beername,Minerl's Gold,Miner's Gold
20.index,10.0,20
1277.breweryid,900,317
47.index,3.0,47
754.state,A,WA
19.id,2259.0,1502
548.id,-1582,427
1665.index,4723,1665
2286.breweryname,Uplope Brewing Company,Upslope Brewing Company
1619.city,Knxoville,Knoxville
2084.state,N,MN
998.beername,Grid Line,Grind Line
968.id,4920,1028
1556.city,Longmotn,Longmont
470.breweryname,Buckeban Brewing Company,Buckbean Brewing Company
502.state,KO,OK
88.city,Portuland,Portland
2182.id,-1551,2615
964.index,4182,964
470.beername,Btlack Noddy Lager (Current),Black Noddy Lager (Current)
394.ounces,24.489289637605715,16.0
1540.state,PaA,PA
993.breweryid,-374,124
879.id,-1562,875
835.city,Astria,Astoria
2337.breweryid,1002,100
1018.id,-1592,1270
795.style,American Double / Imperial PIA,American Double / Imperial IPA
282.city,Denvxer,Denver
11.id,2261.0,2099
383.city,Tvampa,Tampa
42.id,2265.0,2517
1886.state,OC,CO
1628.breweryname,errin Brewing Company,Perrin Brewing Company
1372.state,WiI,WI
717.style,Gogse,Gose
1795.beername,SanTan HefeWeizhen,SanTan HefeWeizen
889.breweryname,Geeva Lake Brewing Company,Geneva Lake Brewing Company
760.breweryname,Everybody's Breiwng,Everybody's Brewing
2083.state,N,MN
261.beername,Sumtmer Honey,Summer Honey
2312.ounces,24.08654510661182,12.0
1482.style,itbier,Witbier
1676.breweryname,Pug Rya's Brewery,Pug Ryan's Brewery
1650.city,San Francisceo,San Francisco
119.breweryname,Anderson aVlley Brewing Company,Anderson Valley Brewing Company
1053.index,-1151,1053
1107.city,Minneaplois,Minneapolis
1537.ounces,27.47545412474134,16.0
968.beername,Aaah yBock Lager,Aaah Bock Lager
1760.state,qMI,MI
607.city,Tama,Tampa
911.state,LA,AL
1698.breweryid,-335,68
44.id,2264.0,2544
76.index,2.0,76
519.breweryname,Cambridge Brewing Compzany,Cambridge Brewing Company
2011.state,zWI,WI
887.beername,No Wae IPA,No Wake IPA
18.index,7.0,18
342.breweryname,Bonfire Brewing oCmpany,Bonfire Brewing Company
1540.beername,Endles Sun Ale,Endless Sun Ale
1142.breweryname,Joseph Jamses Brewing Company,Joseph James Brewing Company
1942.state,X,TX
893.style,Axmerican IPA,American IPA
75.city,Louisvislle,Louisville
